,Date,Year,Type,Country,Area,Location,Activity,Sex ,Age,Fatal (Y/N),Time,Species 
4366,Reported 03-Sep-1953,1953,Unprovoked,USA,New York,Rockaway Beach,SURFING/WATERSPORTS,M,15,N,Unknown,SAND SHARK
4367,02-Sep-1953,1953,Unprovoked,USA,Hawaii,"Waiau, Pearl Harbor, O'ahu",CRABBING,M,Unknown,N,Unknown,HAMMERHEAD SHARK
4368,Aug-1953,1953,Uncertain,MEXICO,Guerrero,Acapulco,SWIMMING/DIVING,M,19,Unknown,17h30,Unknown
4369,31-Jul-1953,1953,Unprovoked,MEXICO,Colima,Manzanillo,SWIMMING/DIVING,F,18,Y,Unknown,Unknown
4370,26-Jul-1953,1953,Unprovoked,USA,Hawaii,"Maile Beach, O'ahu",FISHING,M,15,Y,09h15,Unknown
4371,16-Jul-1953,1953,Provoked,USA,California,"Santa Catalina Island, Los Angeles County",FISHING,M,Unknown,N,Unknown,Unknown
4372,15-Jul-1953,1953,Unprovoked,USA,Florida,"Juno Beach, Palm Beach County",STANDING,F,26,N,Unknown,Unknown
4373,11-Jul-1953,1953,Uncertain,PACIFIC OCEAN,330 to 350 miles east of Wake Island,Unknown,ROYAL HAWAIIAN SKYMASTER DC-6B AIRCRAFT WENT DOWN WITH  58 PASSENGER & CREW,Unknown,Unknown,N,Unknown,Unknown
4374,09-Jul-1953,1953,Uncertain,CANADA,Nova Scotia,"Fourchu, Cape Breton Island",FISHING,M,Unknown,N,Unknown,WHITE SHARK
4375,04-Jul-1953,1953,Unprovoked,USA,Hawaii,Kaula Rock near Niihau ,SURFING/WATERSPORTS,M,Unknown,N,08h00,Unknown
4376,01-Jul-1953,1953,Unprovoked,PANAMA,Gulf of Panama,60 miles offshore ,SURFING/WATERSPORTS,M,19,N,Unknown,Unknown
4377,Jun-1953,1953,Provoked,AUSTRALIA,Queensland,Unknown,LANDING HOOKED SHARK IN BOAT,M,Unknown,N,Unknown,Unknown
4378,07-Apr-1953,1953,Uncertain,AUSTRALIA,New South Wales,1.5 miles off shore,UNKNOWN,Unknown,Unknown,N,Unknown,Unknown
4379,04-Apr-1953,1953,Unprovoked,USA,Texas,South Padre Island,SWIMMING/DIVING,F,19,N,Afternoon,Unknown
4380,Apr-1953,1953,Unprovoked,IRAN,Karun River,"near Ahvaz, 275 km from the sea",UNKNOWN,M,Unknown,N,Unknown,BULL SHARK
4381,Apr-1953,1953,Unprovoked,IRAN,Karun River,"near Ahvaz, 275 km from the sea",SWIMMING/DIVING,M,Unknown,N,Unknown,BULL SHARK
4382,Mar-1953,1953,Unprovoked,AUSTRALIA,New South Wales,"Long Reef, Collaroy",FISHING,M,23,N,Unknown,Unknown
4383,Reported 19-Mar-1953,1953,Unprovoked,AUSTRALIA,South Australia,"Schnapper Rock, Kirton Point",FISHING,M,Unknown,N,Unknown,Unknown
4384,Mar-1953,1953,Uncertain,INDIAN OCEAN,Unknown,Between Straits of Malacca and Sri Lanka,ADRIFT ON A 4'  RAFT FOR 32 DAYS,Unknown,Unknown,Y,Unknown,Unknown
4385,Mar-1953,1953,Unprovoked,PAPUA NEW GUINEA,Milne Bay Province,"Off Rossel Island, Louisiade Archipelago",WENT OVER SIDE OF BOAT AT TROCHUS GROUND,M,Unknown,Y,Unknown,TIGER SHARK
4386,18-Feb-1953,1953,Provoked,USA,Hawaii,"Barbers Point, O'ahu",BITTEN WHILE CUTTING SHARK FROM NET,M,Unknown,N,Unknown,Unknown
4387,15-Feb-1953,1953,Unprovoked,AUSTRALIA,New South Wales,Cave at Shell Harbour,FISHING,M,25,N,18h00,WOBBEGONG SHARK
4388,Feb-1953,1953,Unprovoked,AUSTRALIA,Unknown,Unknown,FISHING,M,Unknown,N,Unknown,WOBBEGONG SHARK
4389,20-Jan-1953,1953,Provoked,AUSTRALIA,South Australia,Largs Bay,FISHING,M,61,N,Unknown,Unknown
4390,08-Jan-1953,1953,Uncertain,AUSTRALIA,Tasmania,Wynyard,FISHING,Unknown,MAKE LINE GREEN,N,Afternoon,Unknown
4391,1953,1953,Unprovoked,AUSTRALIA,Unknown,Unknown,FISHING,M,Unknown,N,Unknown,WOBBEGONG SHARK
4392,1953,1953,Unprovoked,PAPUA NEW GUINEA,Bougainville (North Solomons),"Kahuli, Buka Island",WASHING,M,Unknown,Y,Unknown,Unknown
4393,1953,1953,Unprovoked,USA,Florida,"Juno Beach, Palm Beach County",STANDING,F,Unknown,N,Unknown,Unknown
4394,24-Dec-1952,1952,Unprovoked,AUSTRALIA,Victoria,"Portsea Beach, near Melbourne",SURFING/WATERSPORTS,M,Unknown,N,Unknown,Unknown
4395,21-Dec-1952,1952,Unprovoked,AUSTRALIA,South Australia,Cape Douglas,FISHING,M,25,N,"""After dark""",Unknown
4396,14-Dec-1962,1962,Uncertain,GUATEMALA,Unknown,Unknown,AIR DISASTER,F,Unknown,Unknown,Unknown,Unknown
4397,04-Aug-1952,1952,Provoked,ITALY,Genoa  Province,Riva Trigoso,FISHING,M,17,N,Unknown,LB SHARK
4398,03-Aug-1952,1952,Unprovoked,USA,Hawaii,"Between Ala Moana Channel & Kewalo Basin, O'ahu",SWIMMING/DIVING,M,Unknown,Y,Unknown,Unknown
4399,7-Dec-1952,1952,Unprovoked,USA,California,"Pacific Grove, Monterey Bay, Monterey County",SURFING/WATERSPORTS,M,17,Y,14h00,WHITE SHARK
4400,03-Dec-1952,1952,Unprovoked,USA,Hawaii,"Maile Beach, O'ahu",SWIMMING/DIVING,M,40,Y,Unknown,Unknown
4401,12-Oct-1952,1952,Unprovoked,PAPUA NEW GUINEA,"Abau Sub District, Central Province",Lalaura Village,FISHING,M,Unknown,N,Unknown,Unknown
4402,06-Aug-1952,1952,Uncertain,SOUTH AFRICA,Eastern Cape Province,Nelsons Rock,UNKNOWN,M,18,Unknown,Unknown,Unknown
4403,05-Aug-1952,1952,Provoked,ITALY,Teramo,Giulianova,FISHING,Unknown,19,Y,02h00,Unknown
4404,27-Jul-1952,1952,Uncertain,USA,Florida,"Panacea, Wakulla County",FISHING,Unknown,Unknown,N,Unknown,HAMMERHEAD SHARK
4405,27-Jul-1952,1952,Provoked,USA,South Carolina,Seabrook Beach,FISHING,M, 43,N,Unknown,SMALL SHARK
4406,27-Jul-1952,1952,Provoked,USA,South Carolina,Seabrook Beach,FISHING,M,34,N,Unknown,SMALL SHARK
4407,27-Jul-1952,1952,Uncertain,USA,California,"Off Santa Monica, Los Angeles County",BOAT EXPLODED,M,Unknown,Y,Unknown,Unknown
4408,13-Jul-1952,1952,Provoked,USA,California,"San Diego, San Diego County",FISHING,M,34,N,Unknown,Unknown
4409,05-Jul-1952,1952,Unprovoked,USA,Puerto Rico,"Mona Island, 40 miles west of the mainland ",FISHING,M,Unknown,N,11h00,TIGER SHARK
4410,27-May-1952,1952,Unprovoked,USA,California,"Imperial Beach, San Diego County",SURFING/WATERSPORTS,M,Unknown,N,10h00 or 14h00,WHITE SHARK
4411,Reported 07-May-1952,1952,Unprovoked,AUSTRALIA,Western Australia,Boyup Brook,FISHING,M,Unknown,N,Unknown,CARPET SHARK
4412,May-1952,1952,Unprovoked,INDIA,Unknown,Off Trivandrum (west coast),FISHING,M,Unknown,N,Unknown,BROWN SHARK
4413,06-Apr-1952,1952,Uncertain,AUSTRALIA,South Australia,Streaky Bay,FISHING,Unknown,Unknown,N,Morning,WHITE SHARK
4414,Apr-1952,1952,Provoked,SUDAN,Red Sea State,"Suakin Harbor, Suakin Island",FISHING,M,Unknown,N,P.M.,BROWN SHARK
4415,30-Mar-1952,1952,Unprovoked,NETHERLANDS ANTILLES,Curacao,Unknown,WENT TO AID OF CHILD BEING MENACED BY THE SHARK,M,Unknown,N,Unknown,BULL SHARKTHE SHARK
4416,23-Jan-1952,1952,Provoked,MAURITIUS,Port Louis Province,Port Louis,FISHING,M,Unknown,N,Unknown,Unknown
4417,07-Jan-1952,1952,Unprovoked,AUSTRALIA,New South Wales,Evans Head,SURFING/WATERSPORTS,M,Unknown,N,Unknown,Unknown
4418,1952-1954,1952,Unprovoked,LIBERIA,Montserrado,"West Breakwater, Monrovia / Freeport",SWIMMING/DIVING,M,Unknown,Y,Unknown,Unknown
4419,1952,1952,Unprovoked,PAPUA NEW GUINEA,"Admiralty Islands, Manus Province",Manus Island,FISHING,M,Unknown,N,Unknown,Unknown
4420,1952,1952,Unprovoked,PAPUA NEW GUINEA,"Admiralty Islands, Manus Province","Momote, Manus Island",FISHING,M,Unknown,Y,Unknown,OF SHARK
4421,1952,1952,Unprovoked,PAPUA NEW GUINEA,New Ireland Province,"Samo Plantation, east coast ",FISHING,M,27,Y,Unknown,Unknown
4422,1952,1952,Unprovoked,USA,Florida,Near Key West,SWIMMING/DIVING,M,Unknown,Y,Unknown,Unknown
4423,21-Dec-1951,1951,Unprovoked,MOZAMBIQUE,Bay of Maputu,Catembe ,SWIMMING/DIVING,M,15,Y,Unknown,Unknown
4424,16-Dec-1951,1951,Provoked,AUSTRALIA,New South Wales,North Bondi,FISHING,M,18,N,Unknown,WOBBEGONG SHARK
4425,"
1951.12.15.R",1951,Uncertain,MOZAMBIQUE,Sofala Province,Beira,SWIMMING/DIVING,M,Unknown,Unknown,Unknown,Unknown
4426,6-Dec-1951,1951,Unprovoked,AUSTRALIA,New South Wales,"Merewether Beach, Newcastle",TREADING WATER,M,21,Y,16h00,Unknown
4427,29-Nov-1951,1951,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"South Beach, Durban",SWIMMING/DIVING,M,23,N,13h00,WHITE SHARK
4428,28-Nov-1951,1951,Unprovoked,JAMAICA,Kingston Parish,Kingston Harbor,FISHING,M,81,N,Unknown,Unknown
4429,28-Nov-1951,1951,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Winkelspruit,TREADING WATER,M,24,N,17h15,WHITE SHARK
4430,Reported 23-Nov-1951,1951,Unprovoked,PHILIPPINES,Unknown,Unknown,SHIPWRECKED; ADRIFT ON RAFT FOR 2 DAYS & 2 NIGHTS,M,Unknown,Y,Unknown,Unknown
4431,22-Oct-1951,1951,Unprovoked,AUSTRALIA,Queensland,"Ocean baths, Kissing Point Beach ",SWIMMING/DIVING,M,42,Y,19h10,Unknown
4432,05-Oct-1951,1951,Uncertain,NORTH ATLANTIC OCEAN,South Carolina,400 miles off the le,CARGO SHIP SOUTHERN ISLE SANK AT 04H00,Unknown,Unknown,Unknown,Unknown,Unknown
4433,29-Sep-1951,1951,Unprovoked,ITALY,Salerno,Amalfi,SWIMMING/DIVING,F,21,Y,Unknown,Unknown
4434,Reported 03-Sep-1951,1951,Unprovoked,ITALY,Salerno Province,Salerno,FISHING,M,Unknown,N,Night,Unknown
4435,Reported 02-Sep-1951,1951,Unprovoked,AUSTRALIA,Queensland,Fitzroy River near Rockhampton,"BODY FOUND ON DESERTED LUXURY YACHT, 38 CHRISTINE",M,56,Y,Unknown,Unknown
4436,17-Aug-1951,1951,Unprovoked,GREECE,Corfu Island,Off Royal Residence,SWIMMING/DIVING,M,18,N,Unknown,WHITE SHARK
4437,17-Aug-1951,1951,Unprovoked,GREECE,Corfu Island,Off Royal Residence,SWIMMING/DIVING,F,16,Y,Unknown,WHITE SHARK
4438,Reported 16-Aug-1951,1951,Unprovoked,ITALY,Taranto,Torre Colimena,SWIMMING/DIVING,M,Unknown,N,Unknown,Unknown
4439,Between 01-Aug-1951 & 08-Aug-1951,1951,Unprovoked,COLUMBIA,Caribbean Sea,Cartegena,SWIMMING/DIVING,Unknown,Unknown,Y,Unknown,Unknown
4440,Reported 19-Jul-1951,1951,Unprovoked,USA,California,"Long Beach, Los Angeles County",UNKNOWN,M,13,N,Unknown,Unknown
4441,11-Jul-1951,1951,Unprovoked,PACIFIC OCEAN,Unknown,In Los Angeles  Honolulu yacht race,SURFING/WATERSPORTS,M,40,N,Afternoon,Unknown
4442,25-Jun-1951,1951,Unprovoked,USA,Hawaii,"Kapehu Beach, Laupahoehoe, Hawai'i",FISHING,M,Unknown,Y,Unknown,Unknown
4443,Jun-1951,1951,Unprovoked,FRENCH POLYNESIA,Tuamotus,"Outer edge of Hikueru, one of the Central Tuamotu atolls",FISHING,M,39,N,11h00,Unknown
4444,22-May-1951,1951,Unprovoked,MEXICO,Unknown,Unknown,SWIMMING/DIVING,M,16,N,15h00,Unknown
4445,Reported 09-May-1951,1951,Provoked,ITALY,Naples Province,"Torre del Greco, Naples",UNKNOWN,Unknown,Unknown,N,Unknown,Unknown
4446,26-Mar-1951,1951,Provoked,AUSTRALIA,New South Wales,Avalon,SURFING/WATERSPORTS,M,23,N,Afternoon,WOBBEGONG SHARK
4447,24-Mar-1951,1951,Unprovoked,AUSTRALIA,New South Wales,Sydney,SURFING/WATERSPORTS,M,"""young""",N,Unknown,Unknown
4448,15-Mar-1951,1951,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"South Beach, Durban",SURFING/WATERSPORTS,M,19,N,12h00,Unknown
4449,19-Feb-1951,1951,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Port St. Johns,SURFING/WATERSPORTS,M,31,N,12h15,Unknown
4450,03-Feb-1951,1951,Unprovoked,AUSTRALIA,New South Wales,"Windang, near the entrance to Lake Illawarra",SURFING/WATERSPORTS,M,20,N,Unknown,Unknown
4451,01-Feb-1951,1951,Unprovoked,AUSTRALIA,New South Wales,Bondi Beach,SWIMMING/DIVING,M,14,N,Unknown,Unknown
4452,21-Jan-1951,1951,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Native Beach, Durban",SWIMMING/DIVING,M,19,Y,16h25,Unknown
4453,03-Jan-1951,1951,Uncertain,AUSTRALIA,New South Wales,Hawkesbury River,UNKNOWN,M,Unknown,Unknown,Unknown,Unknown
4454,1951,1951,Unprovoked,NEW GUINEA,Madang Province,Manam Island,UNKNOWN,Unknown,Unknown,Y,Unknown,Unknown
4455,31-Dec-1950,1950,Unprovoked,AUSTRALIA,Queensland,Kirra,SURFING/WATERSPORTS,M,19,N,Unknown,NURSE SHARK
4456,Reported 19-Dec-1950,1950,Unprovoked,AUSTRALIA,New South Wales,Jervis Bay,SWIMMING/DIVING,Unknown,Unknown,N,Unknown,WOBBEGONG SHARK
4457,16-Dec-1950,1950,Unprovoked,AUSTRALIA,Queensland,"Palm Beach North, 5 miles north of Burleigh Heads, Brisbane",TREADING WATER,M,20,Y,16h15,Unknown
4458,29-Nov-1950,1950,Provoked,AUSTRALIA,Northern Territory,Goulburn Island,SWIMMING/DIVING,M,17,N,Unknown,Unknown
4459,25-Nov-1950,1950,Unprovoked,AUSTRALIA,Queensland,"Burleigh Heads, Brisbane",SURFING/WATERSPORTS,M,21,N,17h15,WHITE SHARK
4460,12-Nov-1950,1950,Uncertain,AUSTRALIA,Queensland,Yeppoon,PADDLING A CANOE,M,18,N,Unknown,Unknown
4461,28-Oct-1950,1950,Unprovoked,USA,California,"Imperial Beach, San Diego County",SURFING/WATERSPORTS,M,31,N,12h00,WHITE SHARK
4462,04-Oct-1950,1950,Unprovoked,AUSTRALIA,Queensland,"Peterson's Beach, Sarina",FISHING,M,25,N,Night,Unknown
4463,06-Aug-1950,1950,Provoked,EL SALVADOR, La Libertad,50 miles off Port La Libertad,SURFING/WATERSPORTS,M,27,N,08h30,LB SHARK
4464,Aug-1950,1950,Unprovoked,SAUDI ARABIA,Eastern Province,East of the Ras Tanura-Jubail area ,SWIMMING/DIVING,M,Unknown,N,2 hrs before sunset,Unknown
4465,Reported 27-Jul-1950,1950,Uncertain,AUSTRALIA,South Australia,Streaky Bay,FISHING,Unknown,Unknown,N,Unknown,WHITE SHARK
4466,21-Jul-1950,1950,Unprovoked,JAPAN,Sago Prefecture,Ariakeno Bay,SWIMMING/DIVING,M,19,Y,P.M.,Unknown
4467,1950.07.19,1950,Provoked,ITALY,Savona,Albenga,FISHING,Unknown,Unknown,N,Unknown,Unknown
4468,15-Jul-1950,1950,Unprovoked,CUBA,Caribbean Sea,Unknown,SWEPT OFF DECK OF S.S.FRONTENAC ENROUTE FROM WEST INDIES TO US,M,30,N,18h15 to 21h30,Unknown
4469,10-Jul-1950,1950,Unprovoked,USA,Texas,Near Port Arthur,SWIMMING/DIVING,M,11,N,Unknown,HAMMERHEAD SHARK
4470,09-Jul-1950,1950,Uncertain,USA,Texas,Galveston Bay,UNKNOWN,M,Unknown,Unknown,Unknown,Unknown
4471,Jul-1950,1950,Unprovoked,USA,Florida,"Rock Harbor, Key Largo, Monroe County",SWIMMING/DIVING,M,21,N,Unknown,Unknown
4472,25-Jun-1950,1950,Unprovoked,USA,New York,"Beach 103rd Street, Rockaway ",SWIMMING/DIVING,M,16,N,Unknown,SAND SHARK
4473,06-Jun-1950,1950,Uncertain,USA,Florida,275 miles northeast of Miami,SURVIVED CRASH OF TWO-ENGINE  C-46 TRANSPORT PLANE CARRYING 62 MIGRANT WORKERS FROM PUERTO RICO TO USA ,M,25,Y,09h00,Unknown
4474,24-May-1950,1950,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Port Edward,TREADING WATER,M,27,N,10h30,Unknown
4475,01-May-1950,1950,Uncertain,ITALY,Tyrrhenian Sea,"Sprizze, Isola d'Elba",FISHING,M,Unknown,N,Unknown,WHITE SHARK
4476,09-Apr-1950,1950,Uncertain,AUSTRALIA,Queensland,Cooper's Point,FISHING,M,50,Y,Unknown,Unknown
4477,09-Apr-1950,1950,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Off Port Elizabeth breakwater,FISHING,M,Unknown,N,Unknown,Unknown
4478,26-Mar-1950,1950,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Off bank of Ntshala River, Morgan Bay",SWIMMING/DIVING,M,Unknown,N,Midday,Unknown
4479,08-Mar-1950,1950,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"North Beach, Durban",LIFESAVING DRILL,M,20,Y,18h50,Unknown
4480,01-Mar-1950,1950,Uncertain,AUSTRALIA,Western Australia,"City Beach, Perth",SUICIDE,M,Unknown,Unknown,Unknown,Unknown
4481,Reported 18-Feb-1950,1950,Unprovoked,AUSTRALIA,Western Australia,"Cottesloe, Perth",FISHING,M,Unknown,N,Unknown,CARPET SHARK
4482,11-Feb-1950,1950,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"South Beach, Durban",SURFING/WATERSPORTS,M,14,Y,14h30,WHITE SHARK
4483,16-Jan-1950,1950,Uncertain,USA,Hawaii,"Kahakuloa, Maui",FISHING,M,Unknown,Unknown,Night,Unknown
4484,Reported 12-Jan-1950,1950,Unprovoked,AUSTRALIA,Victoria,South Werribee Beach,SWIMMING/DIVING,M,Unknown,N,Unknown,Unknown
4485,1950,1950,Uncertain,AUSTRALIA,Tasmania,Triabunna,SITTING ON SIDE OF DINGHY MENDING A NET,M,Unknown,N,Unknown,WHITE SHARK
4486,1950,1950,Unprovoked,SRI LANKA,Eastern Province,Heda Oya Estuary,FISHING,M,Unknown,N,Unknown,LEMON SHARK
4487,1950,1950,Unprovoked,SRI LANKA,Southern Province,Dodnduwa,FISHING,M,Unknown,N,Unknown,REEF SHARK
4488,1950 - 1951,1950,Unprovoked,LIBERIA,Montserrado,Monrovia,DEFECATING IN WATER BENEATH THE DOCKS,M,Unknown,Y,Unknown,Unknown
4489,Summer 1950,1950,Unprovoked,INDONESIA,Jakarta Harbour,On rock near Yacht Club,BENDING OVER,M,7 or 8,Y,1500,TIGER SHARK
4490,1950,1950,Unprovoked,USA,Florida,"Jacksonville Beach, Duval County",STANDING,M,Unknown,N,Unknown,Unknown
4491,1950s,1950,Uncertain,USA,Hawaii,"Waikiki, O'ahu",FISHING,M,Unknown,Unknown,Unknown,WHITE SHARK
4492,1950,1950,Unprovoked,PANAMA,Canal Zone,300 yards west of mouth of the Chagres River,SWIMMING/DIVING,M,Unknown,N,13h00,Unknown
4493,Summer 1950,1950,Unprovoked,GREECE,Unknown,"Piraeus, Athens",SWIMMING/DIVING,Unknown,Unknown,Y,Unknown,Unknown
4494,1950,1950,Unprovoked,SINGAPORE,Singapore Harbor,Unknown,SWIMMING/DIVING,M,Unknown,Y,Unknown,Unknown
4495,1950,1950,Unprovoked,NEW CALEDONIA,North Province,"Voh, near meatworks",FISHING,M,Unknown,N,Unknown,Unknown
4496,Ca. 1950,1950,Unprovoked,NEW CALEDONIA,North Province,Mangalia Reef above Touho ,SWIMMING/DIVING,M,Unknown,N,Unknown,Unknown
4497,Ca. 1950,1950,Unprovoked,FIJI,Unknown,Near Lautoka,UNKNOWN,M,Unknown,N,Unknown,Unknown
4498,Dec-1949,1949,Uncertain,Unknown,Caribbean Sea,Between  Cuba  & Costa Rica,"SEA DISASTER, SINKING OF THE MOTORSHIP WINGATE",M,Unknown,Y,Unknown,Unknown
4499,Dec-1949,1949,Unprovoked,AUSTRALIA,Victoria,Seaholme,LYING ON THE BOTTOM OF A 16' DINGHY,M,35,N,Unknown,NURSE SHARK
4500,20-Nov-1949,1949,Unprovoked,AUSTRALIA,New South Wales,"Kurnell, Botany Bay ",SWIMMING/DIVING,M,36,N,Afternoon,Unknown
4501,12-Nov-1949,1949,Uncertain,AUSTRALIA,Victoria,Port Phillip Bay,NO DETAILS,M,Unknown,Unknown,Unknown,Unknown
4502,28-Aug-1949,1949,Unprovoked,AUSTRALIA,Queensland,Yorkeys Knob Beach near Cairns,SWIMMING/DIVING,M,21,N,13h20,Unknown
4503,28-Aug-1949,1949,Unprovoked,AUSTRALIA,Queensland,Yorkeys Knob Beach near Cairns,SWIMMING/DIVING,M,34,Y,13h20,Unknown
4504,17-Aug-1949,1949,Uncertain,ITALY,Tuscany,Elba Island,SWIMMING/DIVING,M,17,Unknown,Unknown,Unknown
4505,16-Aug-1949,1949,Unprovoked,AUSTRALIA,Tasmania,Flinders Island,SWIMMING/DIVING,M,18,N,16h00,Unknown
4506,Reported 10-Aug-1949,1949,Unprovoked,ITALY,Calabria,Cosenza,SWIMMING/DIVING,M,21,N,Unknown,Unknown
4507,07-July-1949,1949,Unprovoked,IRAN,Shatt-el-Arab River,Unknown,SWIMMING/DIVING,M,18,N,Unknown,Unknown
4508,28-Jul-1949,1949,Unprovoked,IRAN,Shatt-al-Arab River,Bashamir,SWIMMING/DIVING,M,18,Y,Unknown,Unknown
4509,25-Jul-1949,1949,Unprovoked,USA,South Carolina,"Oketee River, Jasper County",FLOATING ON HIS BACK,M,16,N,15h00,Unknown
4510,16-Jul-1949,1949,Provoked,USA,California,"10 miles off Redondo Beach, Los Angeles County",FISHING,M,16,N,Unknown,BONITA SHARK
4511,13-Jun-1949,1949,Uncertain,CHINA,Unknown,Between Tientsin & Hong Kong,FISHING,M,Unknown,Y,Unknown,Unknown
4512,16-May-1949,1949,Unprovoked,AUSTRALIA,Western Australia,Broome,SWIMMING/DIVING,F,22,N,Unknown,WHALER SHARK
4513,13-May-1949,1949,Provoked,AUSTRALIA,New South Wales,Nelson's Bay,"EXAMINING NETTED SHARK, THAT HAD BEEN SHOT",M,26,N,Unknown,Unknown
4514,18-Apr-1949,1949,Provoked,AUSTRALIA,Queensland,"Nerang River, Southpot",FISHING,M,Unknown,N,Unknown,Unknown
4515,17-Apr-1949,1949,Unprovoked,AUSTRALIA,Queensland,"Ellis Beach, 20 miles from Cairns",SWIMMING/DIVING,M,13,Y,13h30,Unknown
4516,13-Apr-1949,1949,Unprovoked,MEXICO,Tamaulipas,"Miramar Beach, Tampico",SWIMMING/DIVING,M,Unknown,N,Unknown,Unknown
4517,Mar-1949 or Apr-1949,1949,Uncertain,AUSTRALIA,South Australia,18 miles south of Port Augusta,UNKNOWN,Unknown,Unknown,Unknown,Unknown,Unknown
4518,23-Jan-1949,1949,Unprovoked,AUSTRALIA,New South Wales,"Bar Beach, Newcastle ",LIFESAVING EXHIBITION,M,20,Y,15h00,WHITE SHARK
4519,14-Jan-1949,1949,Uncertain,AUSTRALIA,New South Wales,Off North Bondi,SURFING/WATERSPORTS,M,32,Unknown,Afternoon,Unknown
4520,13-Jan-1949,1949,Unprovoked,AUSTRALIA,New South Wales,"Mona Vale, near Sydney",SURFING/WATERSPORTS,M,Unknown,N,Unknown,Unknown
4521,05-Jan-1949,1949,Uncertain,AUSTRALIA,Western Australia,"Leighton Beach, North Fremantle",UNKNOWN,Unknown,Unknown,Unknown,Unknown,Unknown
4522,1949-1950,1949,Uncertain,ITALY,Tyrrhenian Sea,San Vincenzo,FISHING,M,Unknown,N,Unknown,WHITE SHARK
4523,1949,1949,Unprovoked,NEW GUINEA,Calvados Archipelago,"Sabara Island, Calvados Chain 11.4S, 153E",UNKNOWN,Unknown,Unknown,Y,Unknown,Unknown
4524,1949,1949,Unprovoked,PAPUA NEW GUINEA,New Ireland Province,"Kulengei, southeast of Kalili, Kavieng",UNKNOWN,M,Unknown,N,Unknown,Unknown
4525,1949,1949,Unprovoked,PAPUA NEW GUINEA,New Ireland Province,"Enang , Kavieng",UNKNOWN,M,Unknown,N,Unknown,Unknown
4526,1949,1949,Unprovoked,PAPUA NEW GUINEA,Bougainville (North Solomons),"Orava (Aravo) Islet , near Kieta. ",FISHING,M,18,Y,Unknown,Unknown
4527,1949,1949,Unprovoked,PAPUA NEW GUINEA,Bougainville (North Solomons),"Sohano Island, Buka Passage",SWIMMING/DIVING,M,Unknown,N,Unknown,Unknown
4528,1949,1949,Unprovoked,NEW GUINEA,"Abau Sub District, Central Province",Kerpuna ,SWIMMING/DIVING,M,Unknown,Y,Unknown,Unknown
4529,27-Dec-1948,1948,Unprovoked,AUSTRALIA,Western Australia,Lancelin Island,SWIMMING/DIVING,M,17,Y,Unknown,TIGER SHARK
4530,26-Dec-1948,1948,Unprovoked,AUSTRALIA,Queensland,"Kings Beach, Caloundra","TREADING WATER, WAITING FOR A WAVE",M,28,Y,11h30,Unknown
4531,14-Dec-1948,1948,Unprovoked,IRAN,Shat-Al-Arab River,Abadan,UNKNOWN,M,19,N,Unknown,Unknown
4532,14-Dec-1948,1948,Unprovoked,CUBA,Guantanamo Province,10 miles off Cape Maisi,SURFING/WATERSPORTS,M,14,N,Unknown,Unknown
4533,10-Dec-1948,1948,Unprovoked,AUSTRALIA,Queensland,Rib Reef off Townsville,FISHING,M,Unknown,N,Unknown,Unknown
4534,05-Dec-1948,1948,Uncertain,NORTH PACIFIC OCEAN,Between Kwajalein Atoll & Johnston Island,500 nautical miles southwest of Johnston Island,SURFING/WATERSPORTS,M,Unknown,Y,Dark,Unknown
4535, 18-Nov-1948,1948,Unprovoked,AUSTRALIA,Torres Strait,"Saibai Island, 80 miles north of Cape York",SWIMMING/DIVING,M,41,N,Unknown,Unknown
4536,22-Sep-1948,1948,Unprovoked,GREECE,Attica,Keratsini ,SWIMMING/DIVING,M,17,Y,16h00,Unknown
4537,19-Sep-1948,1948,Unprovoked,USA,Hawaii,"Off Makapauu Point, O'ahu",SWIMMING/DIVING,M,Unknown,N,Unknown,Unknown
4538,19-Sep-1948,1948,Unprovoked,USA,Hawaii,"Off Makapauu Point, O'ahu",FISHING,M,Unknown,N,Unknown,Unknown
4539,Reported 17-Sep-1848,1848,Unprovoked,TURKEY,Adana Province,Yumurtalik,SWIMMING/DIVING,M,Unknown,Y,Unknown,Unknown
4540,15-Sep-1948,1948,Uncertain,MID ATLANTIC OCEAN,Unknown,Bound from New York to London in ballast,LEICESTER ABANDONED IN A HURRICANE,M,Unknown,Y,Unknown,Unknown
4541,02-Sep-1948,1948,Unprovoked,IRAN,Bandar Mashur sea inlet,Unknown,SWIMMING/DIVING,F,60,Y,Unknown,Unknown
4542,19-Aug-1948,1948,Unprovoked,IRAN,Shatt-al-Arab River,Unknown,UNKNOWN,M,13,Y,Unknown,Unknown
4543,03-Aug-1948,1948,Unprovoked,IRAN,Shatt-al-Arab River,Bashamir,SWIMMING/DIVING,M,15,N,Unknown,Unknown
